url,title,title_len,description,desc_len,h1,canonical,jsonld_blocks
/,Bestattungen Gorhau in Würzburg-Heidingsfeld | Bestatter seit 1970,66,"Bestattungs- und Überführungs-Institut Gorhau in Würzburg-Heidingsfeld: familiengeführt seit 1970. Zuhören, beraten, begleiten – persönlich und zuverlässig im Trauerfall. Tag und Nacht erreichbar.",196,1,https://www.gorhau-bestattungen.de/,3
/kontakt/,Kontakt &amp; Anfahrt | Bestattungen Gorhau Würzburg-Heidingsfeld,65,"Kontakt zu Bestattungen Gorhau in Würzburg-Heidingsfeld: Reuterstraße 2, Telefon 0931 61 00 00. Bürozeiten Mo–Fr 08:00–16:00 Uhr, im Trauerfall Tag und Nacht erreichbar.",169,1,https://www.gorhau-bestattungen.de/kontakt/,2
/leistungen/formalitaeten/,Behördengänge und Formalitäten | Bestattungen Gorhau Würzburg,61,"Bestattungen Gorhau in Würzburg übernimmt für Sie die Formalitäten: Sterbeurkunde, Abmeldungen, Anträge und Behördengänge. Wir nehmen Ihnen den Papierkram ab.",158,1,https://www.gorhau-bestattungen.de/leistungen/formalitaeten/,2
/leistungen/,Leistungen – Bestattungen Gorhau Würzburg,41,"Das Leistungsspektrum von Bestattungen Gorhau in Würzburg: Überführungen, Thanatopraxie, Trauerfeier und Trauerdruck, Formalitäten sowie alle Bestattungsarten.",159,1,https://www.gorhau-bestattungen.de/leistungen/,2
/leistungen/thanatopraxie/,Thanatopraxie und hygienische Versorgung | Bestattungen Gorhau Würzburg,71,Thanatopraxie bei Bestattungen Gorhau in Würzburg: die hygienische und ästhetische Versorgung verstorbener Menschen durch geschulte Fachkräfte – für einen würdigen Abschied.,173,1,https://www.gorhau-bestattungen.de/leistungen/thanatopraxie/,2
/leistungen/trauerfeier-und-trauerdruck/,"Trauerfeier, Trauerreden und Trauerdruck | Bestattungen Gorhau Würzburg",71,"Trauerfeier, Trauerreden, Drucksachen und Blumenschmuck: Bestattungen Gorhau in Würzburg gestaltet mit Ihnen einen persönlichen Abschied nach Ihren Wünschen.",157,1,https://www.gorhau-bestattungen.de/leistungen/trauerfeier-und-trauerdruck/,2
/leistungen/ueberfuehrungen/,Überführungen national und international | Bestattungen Gorhau Würzburg,71,Überführungen im In- und Ausland: Bestattungen Gorhau in Würzburg organisiert die würdevolle Überführung verstorbener Menschen zuverlässig und mit allen Formalitäten.,166,1,https://www.gorhau-bestattungen.de/leistungen/ueberfuehrungen/,2
/mediathek/,"Mediathek – Imagefilm, Videos und historische Medien | Bestattungen Gorhau",74,"Die Mediathek von Bestattungen Gorhau in Würzburg: Imagefilm des Unternehmens sowie historische Videos, Audios, Flyer und Dokumente aus der Firmengeschichte.",157,1,https://www.gorhau-bestattungen.de/mediathek/,2
/ueber-uns/galerie/,Galerie – aktuelle und historische Bilder | Bestattungen Gorhau Würzburg,72,"Galerie von Bestattungen Gorhau in Würzburg: aktuelle und historische Aufnahmen unseres Hauses, des Abschiedsraums und aus der Unternehmensgeschichte.",150,1,https://www.gorhau-bestattungen.de/ueber-uns/galerie/,2
/ueber-uns/historie/,Unsere Historie seit 1970 | Bestattungen Gorhau Würzburg,56,"Die Geschichte des Bestattungsinstituts Gorhau: gegründet 1970, seit 1980 in Würzburg-Heidingsfeld, seit 2004 mit hauseigenem Abschiedsraum. Ein Familienunternehmen.",165,1,https://www.gorhau-bestattungen.de/ueber-uns/historie/,2
/ueber-uns/,Über uns – Familienunternehmen seit 1970 | Bestattungen Gorhau Würzburg,71,"Bestattungen Gorhau in Würzburg-Heidingsfeld: ein Familienunternehmen seit 1970. Zuhören, beraten, begleiten – persönliche Begleitung mit fachlicher Qualifikation.",163,1,https://www.gorhau-bestattungen.de/ueber-uns/,2
